Designator,Mid X,Mid Y,Layer,Rotation
C1,-9.27,-2.91,Bottom,0.0
C2,-7.18,-2.12,Bottom,270.0
C3,-5.15,-2.12,Bottom,90.0
C4,-1.04,-2.12,Bottom,90.0
C5, 6.53,-1.62,Bottom,90.0
C6, 7.57,-1.62,Bottom,90.0
C7,10.14,-2.66,Bottom,0.0
C9,-2.97, 6.61,Bottom,0.0
C10,-6.29, 6.61,Bottom,180.0
D1,-4.24, 1.20,Bottom,0.0
IC1,-4.11, 4.10,Bottom,180.0
J1, 7.76, 1.38,Bottom,90.0
J2,-7.77, 1.38,Bottom,270.0
R1, 5.24,-1.62,Bottom,270.0
R2, 1.76,-2.12,Bottom,270.0
R3, 3.15,-2.12,Bottom,270.0
R4,-3.15,-2.12,Bottom,90.0
R5, 1.53, 4.61,Bottom,0.0
R6, 3.46, 4.61,Bottom,180.0
R7, 0.00,-2.12,Bottom,90.0
